ZIP	Name	Rate
563799543	State. Benton County Transit, St Cloud Area	7.875
563799545	State. Benton County Transit	7.375
563799558	State. Benton County Transit	7.375
563799559	State. Benton County Transit, St Cloud Area	7.875
563799560	State. Benton County Transit, St Cloud Area	7.875
563799561	State. Benton County Transit	7.375
563799572	State. Benton County Transit	7.375
563799573	State. Benton County Transit, St Cloud Area	7.875
563799574	State. Benton County Transit	7.375
563799594	State. Benton County Transit	7.375
563799595	State. Benton County Transit, St Cloud Area	7.875
563799596	State. Benton County Transit	7.375
563799597	State. Benton County Transit	7.375
563799598	State. Benton County Transit, St Cloud Area	7.875
563799599	State. Benton County Transit	7.375
563799604	State. Benton County Transit	7.375
563799605	State. Benton County Transit, St Cloud Area	7.875
563799606	State. Benton County Transit	7.375
563799626	State. Benton County Transit	7.375
563799627	State. Benton County Transit, St Cloud Area	7.875
563799628	State. Benton County Transit	7.375
563799630	State. Benton County Transit	7.375
563799631	State. Benton County Transit, St Cloud Area	7.875
563799632	State. Benton County Transit	7.375
563799648	State. Benton County Transit	7.375
563799649	State, Sherburne	7.375
563799650	State. Benton County Transit	7.375
563799656	State. Benton County Transit	7.375
